title,description,servings,prepMinutes,cookMinutes,categories,ingredients,steps
"Tacos au poulet","Des tacos colorés et savoureux",4,20,15,"Mexicain, Plat","Tortillas:8:pcs|Poulet:400:g|Laitue:200:g|Tomates:3:pcs|Oignon:1:pcs|Avocat:2:pcs|Cheddar:150:g|Crème aigre:200:ml|Coriandre:10:brins|Lime:2:pcs|Tabasco:1:cs","1. Assaisonner et griller le poulet|2. Réchauffer les tortillas|3. Émincer tous les légumes|4. Écraser les avocats en guacamole|5. Dresser les tacos avec tous les ingrédients|6. Arroser de jus de lime"
"Lasagnes maison","Un classique italien en couches",8,45,45,"Italien, Plat","Pâtes à lasagnes:500:g|Bœuf haché:600:g|Tomates concassées:800:g|Oignon:2:pcs|Ail:4:pcs|Mozzarella:400:g|Parmesan:200:g|Béchamel:500:ml|Basilic:20:brins|Origan:2:cs","1. Préparer la sauce bolognaise avec la viande|2. Monter les couches dans un plat|3. Alterner sauce, pâtes et fromage|4. Terminer par la béchamel et le parmesan|5. Parsemer d'origan et de basilic|6. Cuire au four à 180°C pendant 45 minutes"
"Saumon au citron","Un plat léger et raffiné",4,10,20,"Français, Plat","Filets de saumon:4:pcs|Citron:2:pcs|Beurre:50:g|Ciboulette:10:brins|Poivre:1:pincée|Sel:1:pincée|Vin blanc:100:ml|Échalotes:2:pcs","1. Assaisonner les filets de saumon|2. Faire dorer dans le beurre|3. Ajouter le vin blanc et le citron|4. Parsemer de ciboulette|5. Faire pocher 15 minutes|6. Servir avec le beurre monté"
"Croque-monsieur","Le classique des sandwichs gratinés",4,10,10,"Français, Plat","Pain de mie:8:tranches|Jambon:8:tranches|Fromage:200:g|Beurre:50:g|Muscade:1:pincée|Farine:30:g|Lait:300:ml|Gruyère:100:g","1. Beurrer le pain de mie|2. Insérer une tranche de jambon et de fromage|3. Tartiner l'extérieur de beurre|4. Faire dorer dans une poêle|5. Servir chaud avec salade|6. Peut aussi passer au gril 5 minutes"
"Sushi rolls","Des makis maison traditionnels",4,30,0,"Japonais, Plat","Riz à sushi:300:g|Vinaigre de riz:50:ml|Sucre:20:g|Saumon:300:g|Avocat:1:pcs|Concombre:1:pcs|Wasabi:1:cc|Sauce soja:50:ml|Gingembre mariné:30:g","1. Cuire le riz selon les instructions|2. Assaisonner avec le vinaigre et sucre|3. Couper les légumes en bâtonnets|4. Rouler dans les feuilles d'algue|5. Couper en rondelles|6. Servir avec wasabi et gingembre"
"Ratatouille","La spécialité niçoise aux légumes",6,30,60,"Français, Plat, Végétarien","Aubergines:2:pcs|Courgettes:2:pcs|Tomates:4:pcs|Poivrons:2:pcs|Oignon:1:pcs|Ail:4:pcs|Basilic:20:brins|Herbes de Provence:2:cs|Huile d'olive:100:ml","1. Couper tous les légumes en dés|2. Faire revenir dans l'huile d'olive|3. Ajouter les tomates concassées|4. Assaisonner avec les herbes|5. Laisser mijoter 45 minutes|6. Parsemer de basilic frais"
"Pain perdu","Un dessert simple et gourmand",4,5,10,"Français, Dessert","Pain de mie:8:tranches|Lait:500:ml|Oeufs:4:pcs|Sucre:80:g|Vanille:1:cc|Beurre:60:g|Sirop d'érable:100:ml","1. Battre les œufs avec lait et sucre|2. Tremper les tranches de pain|3. Faire dorer dans le beurre|4. Saupoudrer de sucre cassonade|5. Servir avec le sirop d'érable|6. Garnir de fruits frais"
"Chili con carne","Un plat épicé et réconfortant",6,20,60,"Mexicain, Plat","Bœuf haché:600:g|Haricots rouges:800:g|Tomates concassées:400:g|Oignon:2:pcs|Ail:4:pcs|Piment:2:pcs|Cumin:2:cs|Paprika:1:cs|Coriandre:1:cs|Fromage râpé:200:g","1. Faire revenir la viande avec les épices|2. Ajouter les légumes émincés|3. Incorporer les tomates et haricots|4. Laisser mijoter 45 minutes|5. Assaisonner selon le goût|6. Servir avec fromage et crème aigre"
"Quiche Lorraine","Une quiche traditionnelle",6,25,35,"Français, Plat","Pâte brisée:1:pcs|Lardons:200:g|Oeufs:4:pcs|Crème fraîche:300:ml|Lait:200:ml|Muscade:1:pincée|Sel:1:pincée|Poivre:1:pincée","1. Faire revenir les lardons|2. Mélanger œufs, crème et lait|3. Assaisonner avec muscade|4. Étaler la pâte dans un moule|5. Disposer les lardons|6. Verser l'appareil et cuire 35 minutes"
"Brownies au chocolat","Des brownies fondants et moelleux",12,15,25,"Américain, Dessert","Chocolat noir:300:g|Beurre:200:g|Sucre:250:g|Oeufs:4:pcs|Farine:100:g|Noisettes:100:g|Sel:1:pincée","1. Faire fondre le chocolat avec le beurre|2. Ajouter le sucre et mélanger|3. Incorporer les œufs un par un|4. Ajouter la farine et les noisettes|5. Verser dans un plat carré|6. Cuire au four à 180°C pendant 25 minutes"
"Soupe à l'oignon","Une soupe gratinée traditionnelle",4,20,40,"Français, Entrée","Oignons:1:kg|Beurre:50:g|Bouillon de bœuf:1:l|Vin blanc:200:ml|Farine:40:g|Gruyère râpé:150:g|Pain:8:tranches|Thym:5:brins","1. Émincer finement les oignons|2. Caraméliser dans le beurre|3. Saupoudrer de farine|4. Ajouter le bouillon et le vin|5. Laisser mijoter 30 minutes|6. Gratiner sous le grill avec le pain et fromage"
"Tiramisu","Un dessert italien crémeux et caféiné",8,20,0,"Italien, Dessert","Mascarpone:500:g|Oeufs:4:pcs|Sucre:100:g|Biscuits à la cuillère:300:g|Café:200:ml|Cacao:30:g|Amaretto:50:ml|Chocolat:50:g","1. Séparer les blancs des jaunes d'œufs|2. Fouetter les jaunes avec le sucre|3. Incorporer le mascarpone|4. Monter les blancs en neige et les ajouter|5. Tremper les biscuits dans le café|6. Alterner couches de biscuits et crème|7. Saupoudrer de cacao et réserver 4h"
